"Severity","ThreadID","Date","Time","Application","Message"
"ERROR","http-nio-8080-exec-10","08/30/2016","22:47:29","","Message=""Uncaught Error: Script error
http://requirejs.org/docs/errors.html#scripterror"" URL=http://localhost:8080/assets/js/libs/require.js LINE=1746"
"ERROR","http-nio-8080-exec-7","08/30/2016","22:47:44","","Message=""Uncaught Error: Script error
http://requirejs.org/docs/errors.html#scripterror"" URL=http://localhost:8080/assets/js/libs/require.js LINE=1746"
"ERROR","http-nio-8080-exec-2","08/30/2016","22:47:49","","Message=""Uncaught Error: Script error
http://requirejs.org/docs/errors.html#scripterror"" URL=http://localhost:8080/assets/js/libs/require.js LINE=1746"
"ERROR","http-nio-8080-exec-2","08/30/2016","22:50:35","","Message=""Uncaught Error: Script error
http://requirejs.org/docs/errors.html#scripterror"" URL=http://localhost:8080/assets/js/libs/require.js LINE=1746"
"ERROR","http-nio-8080-exec-5","08/30/2016","22:50:44","","Message=""Uncaught Error: Script error
http://requirejs.org/docs/errors.html#scripterror"" URL=http://localhost:8080/assets/js/libs/require.js LINE=1746"
"ERROR","http-nio-8080-exec-4","08/31/2016","22:54:41","","Message=""Uncaught ReferenceError: $ is not defined"" URL=http://localhost:8080/assets/js/views/include/default.js LINE=1"
"ERROR","http-nio-8080-exec-6","08/31/2016","22:54:43","","Message=""Uncaught ReferenceError: $ is not defined"" URL=http://localhost:8080/assets/js/views/include/default.js LINE=1"
"ERROR","http-nio-8080-exec-10","08/31/2016","22:54:44","","Message=""Uncaught ReferenceError: $ is not defined"" URL=http://localhost:8080/assets/js/views/include/default.js LINE=1"
"ERROR","http-nio-8080-exec-7","08/31/2016","22:54:45","","Message=""Uncaught ReferenceError: $ is not defined"" URL=http://localhost:8080/assets/js/views/include/default.js LINE=1"
"ERROR","http-nio-8080-exec-1","08/31/2016","22:54:49","","Message=""Uncaught ReferenceError: $ is not defined"" URL=http://localhost:8080/assets/js/views/include/default.js LINE=1"
"ERROR","http-nio-8080-exec-2","08/31/2016","22:55:13","","Message=""Uncaught ReferenceError: $ is not defined"" URL=http://localhost:8080/assets/js/views/include/default.js LINE=1"
"ERROR","http-nio-8080-exec-9","08/31/2016","22:57:01","","Message=""Uncaught ReferenceError: $ is not defined"" URL=http://localhost:8080/assets/js/views/include/default.js LINE=1"
"ERROR","http-nio-8080-exec-7","08/31/2016","23:06:19","","Message=""Uncaught ReferenceError: jQuery is not defined"" URL=http://localhost:8080/assets/js/views/include/default.js LINE=1"
"ERROR","http-nio-8080-exec-4","08/31/2016","23:09:17","","Message=""Uncaught ReferenceError: $ is not defined"" URL=http://localhost:8080/assets/js/views/include/default.js LINE=1"
"ERROR","http-nio-8080-exec-6","08/31/2016","23:09:18","","Message=""Uncaught ReferenceError: $ is not defined"" URL=http://localhost:8080/assets/js/views/include/default.js LINE=1"
"ERROR","http-nio-8080-exec-3","08/31/2016","23:09:20","","Message=""Uncaught ReferenceError: $ is not defined"" URL=http://localhost:8080/assets/js/views/include/default.js LINE=1"
"ERROR","http-nio-8080-exec-5","08/31/2016","23:09:27","","Message=""Uncaught ReferenceError: $ is not defined"" URL=http://localhost:8080/assets/js/views/include/default.js LINE=1"
"ERROR","http-nio-8080-exec-7","09/02/2016","22:25:59","","Message=""Uncaught ReferenceError: $ is not defined"" URL=http://localhost:8080/assets/js/views/include/default.js LINE=1"
"ERROR","http-nio-8080-exec-10","09/02/2016","22:29:03","","Message=""Uncaught ReferenceError: $ is not defined"" URL=http://localhost:8080/assets/js/views/include/default.js LINE=1"
"ERROR","http-nio-8080-exec-1","09/02/2016","22:29:46","","Message=""Uncaught ReferenceError: $ is not defined"" URL=http://localhost:8080/assets/js/views/include/default.js LINE=1"
"ERROR","http-nio-8080-exec-9","09/02/2016","22:38:18","","Message=""Uncaught ReferenceError: $ is not defined"" URL=http://localhost:8080/assets/js/views/include/default.js LINE=1"
"ERROR","http-nio-8080-exec-1","09/02/2016","22:40:22","","Message=""Uncaught ReferenceError: $ is not defined"" URL=http://localhost:8080/assets/js/views/include/default.js LINE=1"
"ERROR","http-nio-8080-exec-2","09/02/2016","22:46:55","","Message=""Uncaught Error: Script error
http://requirejs.org/docs/errors.html#scripterror"" URL=http://localhost:8080/assets/js/libs/require.js LINE=1746"
"ERROR","http-nio-8080-exec-9","09/02/2016","22:47:52","","Message=""Uncaught ReferenceError: w3IncludeHTML is not defined"" URL=http://localhost:8080/assets/js/views/include/default.js LINE=30"
"ERROR","http-nio-8080-exec-1","09/02/2016","23:00:18","","Message=""Uncaught ReferenceError: w3IncludeHTML is not defined"" URL=http://localhost:8080/assets/js/views/include/default.js LINE=30"
"ERROR","http-nio-8080-exec-6","09/02/2016","23:18:12","","Message=""Uncaught ReferenceError: dump_toggle is not defined"" URL=http://localhost:8080/rolesDetails LINE=1"
"ERROR","http-nio-8080-exec-8","09/02/2016","23:18:18","","Message=""Uncaught ReferenceError: dump_toggle is not defined"" URL=http://localhost:8080/rolesDetails LINE=1"
"ERROR","http-nio-8080-exec-3","09/02/2016","23:18:22","","Message=""Uncaught ReferenceError: dump_toggle is not defined"" URL=http://localhost:8080/rolesDetails LINE=1"
"ERROR","http-nio-8080-exec-8","09/05/2016","08:59:31","","Message=""Uncaught ReferenceError: $ is not defined"" URL=http://localhost:8080/assets/js/views/purchase/purchaseRequests.js LINE=1"
"ERROR","http-nio-8080-exec-9","09/05/2016","08:59:45","","Message=""Uncaught ReferenceError: $ is not defined"" URL=http://localhost:8080/assets/js/views/purchase/purchaseRequests.js LINE=1"
"ERROR","http-nio-8080-exec-9","09/05/2016","09:02:54","","Message=""Uncaught ReferenceError: $ is not defined"" URL=http://localhost:8080/assets/js/views/purchase/purchaseRequests.js LINE=1"
"ERROR","http-nio-8080-exec-8","09/05/2016","09:03:25","","Message=""Uncaught ReferenceError: $ is not defined"" URL=http://localhost:8080/assets/js/views/purchase/purchaseRequests.js LINE=1"
"ERROR","http-nio-8080-exec-3","09/05/2016","11:11:01","","Message=""Uncaught ReferenceError: $ is not defined"" URL=http://localhost:8080/assets/js/views/purchase/purchaseRequests.js LINE=1"
